DISTRITO,TECNOLOGÍA,RANGO_VELOC_BAJADA,EMPRESA
BREÑA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
BREÑA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CARABAYLLO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHACLACAYO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CHORRILLOS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
CIENEGUILLA,Otras Tecnologías,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,1024 <= BW < 2048 kbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
COMAS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
EL AGUSTINO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.
INDEPENDENCIA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.
